age,deathrate_MTN,fertilityrate_MTN,deathrate_WLG,fertilityrate_WLG
0,0.209,0,0.18,0
1,0.113,0,0.166,0
2,0.04,0,0.166,0
3,0.043,0,0.18,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0.016,0,0.016,0
8,0.031,0.119,0.031,0
9,0.016,0.179,0.016,0
10,0.017,0.158,0.017,0.1
11,0,0.058,0,0.1
12,0,0.117,0,0.1
13,0,0.2,0,0.1
14,0.021,0.098,0.021,0.1
15,0.022,0.036,0.022,0.1
16,0.021,0.146,0.021,0.1
17,0,0.192,0,0.1
18,0.025,0.119,0.025,0.1
19,0.027,0.174,0.027,0.1
20,0,0.209,0,0.1
21,0.03,0.049,0.03,0.1
22,0,0.119,0,0.1
23,0,0.21,0,0.1
24,0.035,0.171,0.035,0.1
25,0,0.061,0,0.1
26,0,0.186,0,0.1
27,0,0.184,0,0.1
28,0.075,0.129,0.075,0.1
29,0.085,0.109,0.085,0.1
30,0.048,0.088,0.048,0.1
31,0.1,0.102,0.1,0.1
32,0.114,0.07,0.114,0.1
33,0.143,0.134,0.143,0.1
34,0.091,0.129,0.091,0.1
35,0,0.056,0,0.1
36,0.1,0,0.1,0.1
37,0.222,0.216,0.222,0.1
38,0.286,0,0.286,0.1
39,0,0.1,0,0.1
40,0,0.083,0,0
41,0,0,0,0
42,0.667,0,0.667,0
43,1,0,1,0